Organization Name,LinkedIn,Website,Total Funding Amount,Total Funding Amount Currency,Headquarters Location
Together AI,https://www.linkedin.com/company/togethercomputer,https://www.together.ai,122500000,USD,"Menlo Park, California, United States"
Character.ai,https://www.linkedin.com/company/character-ai,https://beta.character.ai,150000000,USD,"Menlo Park, California, United States"
Kognitos,https://www.linkedin.com/company/kognitos,https://www.kognitos.com/,28349999,USD,"San Jose, California, United States"
Gro Intelligence,https://www.linkedin.com/company/3035148,http://www.gro-intelligence.com,117609000,USD,"New York, New York, United States"
Luma AI,https://www.linkedin.com/company/luma-ai/about/,https://lumalabs.ai/,25500000,USD,"Palo Alto, California, United States"
ImpriMed,https://www.linkedin.com/company/imprimed-inc,https://www.imprimedicine.com,34730000,USD,"Mountain View, California, United States"
EnCharge AI,https://www.linkedin.com/company/encharge-ai/,https://enchargeai.com/,44300000,USD,"Santa Clara, California, United States"
MotherDuck,https://linkedin.com/company/motherduck,https://motherduck.com,100000000,USD,"Seattle, Washington, United States"
GameTree,https://www.linkedin.com/company/gametree,https://gametree.me,3550000,USD,"Los Angeles, California, United States"
Hayden AI,https://www.linkedin.com/company/haydenaitech,http://www.hayden.ai,103300000,USD,"San Francisco, California, United States"
MindsDB,https://www.linkedin.com/company/mindsdb,http://mindsdb.com,54355000,USD,"Berkeley, California, United States"
Nautilus Labs,https://www.linkedin.com/company/nautilus-labs-inc,http://www.nautiluslabs.com,58020000,USD,"New York, New York, United States"
Chalk,https://www.linkedin.com/company/chalkai,https://www.chalk.ai,10000000,USD,"San Francisco, California, United States"
OfferFit,https://www.linkedin.com/company/offerfit/,http://OfferFit.ai,39000000,USD,"Boston, Massachusetts, United States"
Eleos Health,https://www.linkedin.com/company/eleoshealth/,https://www.eleos.health/,68000000,USD,"Boston, Massachusetts, United States"
CloudTrucks,https://www.linkedin.com/company/cloudtrucks,https://cloudtrucks.com/,141600000,USD,"San Francisco, California, United States"
